Name;Default;Type;Changable;Changelog;Description;MinVersion;MaxVersion
com.autoregister_verbose;"0";bool;INI_ALL;;"When this is turned on, any problems with loading a typelibrary during object instantiation will be reported using the PHP error mechanism. The default is off, which does not emit any indication if there was an error finding or loading the type library.";;
com.autoregister_casesensitive;"1";bool;INI_ALL;;"When this is turned on (the default), constants found in auto-loaded type libraries when instatiating COM objects will be registered case sensitively. See com_load_typelib() for more details.";;
com.code_page;"";string;INI_ALL;;"It controls the default character set code-page to use when passing strings to and from COM objects. If set to an empty string, PHP will assume that you want CP_ACP, which is the default system ANSI code page.\r\rIf the text in your scripts is encoded using a different encoding/character set by default, setting this directive will save you from having to pass the code page as a parameter to the com class constructor. Please note that by using this directive (as with any PHP configuration directive), your PHP script becomes less portable; you should use the COM constructor parameter whenever possible.";;
com.dotnet_version;"";string;INI_SYSTEM;"As of PHP 8.0.0";"The version of the .NET framework to use for dotnet objects. The value of the setting is the first three parts of the framework's version number, separated by dots, and prefixed with v, e.g. v4.0.30319.";8.0.0;
com.typelib_file;"";string;INI_SYSTEM;;"When set, this should hold the path to a file that contains a list of typelibraries that should be loaded on startup. Each line of the file will be treated as the type library name and loaded as though you had called com_load_typelib(). The constants will be registered persistently, so that the library only needs to be loaded once. If a type library name ends with the string #cis or #case_insensitive, then the constants from that library will be registered case insensitively.";;
curl.cainfo;null;string;INI_SYSTEM;;"A default value for the CURLOPT_CAINFO option. This is required to be an absolute path.";;
date.default_latitude;"31.7667";float;INI_ALL;;"The default latitude ranging from 0 at the equator, to +90 northward, and -90 southward.";;
date.default_longitude;"35.2333";float;INI_ALL;;"The default longitude ranging from 0 at the prime meridian, to +180 eastward, and -180 westward.";;
date.sunrise_zenith;"90.833333";float;INI_ALL;"Prior to PHP 8.0.0, the default was '90.583333'";"The default sunrise zenith.\r\rThe default value is 90°50'. The additional 50' is due to two components: the Sun's radius, which is 16', and the atmospheric refraction, which is 34'.";;
date.sunset_zenith;"90.833333";float;INI_ALL;"Prior to PHP 8.0.0, the default was '90.583333'";"The default sunset zenith.";;
date.timezone;"UTC";string;INI_ALL;"From PHP 8.2, a warning is emitted when setting this to an invalid value or an empty string.";"The default timezone used by all date/time functions. The precedence order for which timezone is used if none is explicitly mentioned is described in the date_default_timezone_get() page. See List of Supported Timezones for a list of supported timezones.";;
dba.default_handler;DBA_DEFAULT;string;INI_ALL;;"The name of the default handler";;
default_charset;"UTF-8";string;INI_ALL;;"'UTF-8' is the default value and its value is used as the default character encoding for htmlentities(), html_entity_decode() and htmlspecialchars() if the encoding parameter is omitted. The value of default_charset will also be used to set the default character set for iconv functions if the iconv.input_encoding, iconv.output_encoding and iconv.internal_encoding configuration options are unset, and for mbstring functions if the mbstring.http_input mbstring.http_output mbstring.internal_encoding configuration option is unset.\r\rAll versions of PHP will use this value as the charset within the default Content-Type header sent by PHP if the header isn't overridden by a call to header().\r\rSetting default_charset to an empty value is not recommended.";;
mysql.allow_local_infile;"1";int;INI_SYSTEM;;"Allow accessing, from PHP's perspective, local files with LOAD DATA statements";;
mysql.allow_persistent;"1";bool;INI_SYSTEM;;"Whether to allow persistent connections to MySQL.";;
mysql.max_persistent;"-1";int;INI_SYSTEM;;"The maximum number of persistent connections. -1 means no limit.";;
mysql.trace_mode;"0";bool;INI_ALL;;"Trace mode. When mysql.trace_mode is enabled, warnings for table/index scans, non free result sets, and SQL-Errors will be displayed. (Introduced in PHP 4.3.0)";4.3.0;
mysql.default_port;null;string;INI_ALL;;"The default TCP port number to use when connecting to the database server if no other port is specified. If no default is specified, the port will be obtained from the MYSQL_TCP_PORT environment variable, the mysql-tcp entry in /etc/services or the compile-time MYSQL_PORT constant, in that order. Win32 will only use the MYSQL_PORT constant.";;
mysql.default_socket;null;string;INI_ALL;;"The default socket name to use when connecting to a local database server if no other socket name is specified.";;
mysql.default_host;null;string;INI_ALL;;"The default server host to use when connecting to the database server if no other host is specified. Doesn't apply in SQL safe mode.";;
mysql.default_user;null;string;INI_ALL;;"The default user name to use when connecting to the database server if no other name is specified. Doesn't apply in SQL safe mode.";;
mysql.default_password;null;string;INI_ALL;;"The default password to use when connecting to the database server if no other password is specified. Doesn't apply in SQL safe mode.";;
mysql.connect_timeout;"60";int;INI_ALL;;"Connect timeout in seconds. On Linux this timeout is also used for waiting for the first answer from the server.";;
